R,depth,width,seed,K,s2,rel
1.0,2,4,2,-1.0,1.3810978455418155,1.575166762817596
1.0,2,4,2,-2.0,1.8722418031399817,2.6543783857868735
1.0,2,4,2,-4.0,3.2885291045020604,7.572811422553083
1.0,2,4,2,-6.0,5.5066774632090025,21.664352248208374
1.0,2,4,3,0.5,0.8440563052346255,0.9527458556155536
1.0,2,4,3,0.0,1.0,1.0
1.0,2,4,3,-0.5,1.1781835566085712,1.245627307462073
1.0,2,4,3,-1.0,1.3810978455418155,1.6016178796391667
1.0,2,4,3,-2.0,1.8722418031399817,2.8223226040280935
1.0,2,4,3,-4.0,3.2885291045020604,9.073815663633626
1.0,2,4,3,-6.0,5.5066774632090025,27.80576828883149
1.0,2,4,4,0.5,0.8440563052346255,0.971269952214144
1.0,2,4,4,0.0,1.0,1.0
1.0,2,4,4,-0.5,1.1781835566085712,1.0514517044618457
1.0,2,4,4,-1.0,1.3810978455418155,1.1177588459676973
1.0,2,4,4,-2.0,1.8722418031399817,1.4071543240204505
1.0,2,4,4,-4.0,3.2885291045020604,2.245329078306655
1.0,2,4,4,-6.0,5.5066774632090025,3.5956015563799664
1.0,2,4,5,0.5,0.8440563052346255,0.9753337556400204
1.0,2,4,5,0.0,1.0,1.0
1.0,2,4,5,-0.5,1.1781835566085712,1.0637892279898928
1.0,2,4,5,-1.0,1.3810978455418155,1.153281472976489
1.0,2,4,5,-2.0,1.8722418031399817,1.4684697068381327
1.0,2,4,5,-4.0,3.2885291045020604,2.5195155387537453
1.0,2,4,5,-6.0,5.5066774632090025,4.314311411983629
1.0,2,4,6,0.5,0.8440563052346255,0.973990365723789
1.0,2,4,6,0.0,1.0,1.0
1.0,2,4,6,-0.5,1.1781835566085712,1.1023874966537255
1.0,2,4,6,-1.0,1.3810978455418155,1.2375020083239023
1.0,2,4,6,-2.0,1.8722418031399817,1.5857149947596003
1.0,2,4,6,-4.0,3.2885291045020604,2.6260599066545054
1.0,2,4,6,-6.0,5.5066774632090025,4.585915791907143
1.0,2,4,7,0.5,0.8440563052346255,0.9734298400554636
1.0,2,4,7,0.0,1.0,1.0
