R,depth,width,seed,K,s2,rel
1.0,2,4,11,-2.0,1.8722418031399817,1.2926928284063186
1.0,2,4,11,-4.0,3.2885291045020604,1.7164064465704603
1.0,2,4,11,-6.0,5.5066774632090025,2.30941350823898
1.0,2,4,12,0.5,0.8440563052346255,0.9496220759270985
1.0,2,4,12,0.0,1.0,1.0
1.0,2,4,12,-0.5,1.1781835566085712,1.075791247617815
1.0,2,4,12,-1.0,1.3810978455418155,1.1524120223852086
1.0,2,4,12,-2.0,1.8722418031399817,1.3306513228896166
1.0,2,4,12,-4.0,3.2885291045020604,1.8184144787151313
1.0,2,4,12,-6.0,5.5066774632090025,2.4922792726047303
1.0,2,4,13,0.5,0.8440563052346255,0.9643674990743357
1.0,2,4,13,0.0,1.0,1.0
1.0,2,4,13,-0.5,1.1781835566085712,1.1001081267295716
1.0,2,4,13,-1.0,1.3810978455418155,1.2069981354314399
